account_id,account_holder_person_id,bank_name,account_type,account_status
ACC00001,P0001,SynthBank_A,current,active
ACC00002,P0002,SynthBank_B,savings,active
ACC00003,P0003,SynthBank_C,current,active
ACC00004,P0004,SynthBank_A,savings,active
ACC00005,P0005,SynthBank_B,savings,active
ACC00006,P0006,SynthBank_C,current,active
ACC00007,P0007,SynthBank_A,savings,active
ACC00008,P0008,SynthBank_B,savings,active
ACC00009,P0009,SynthBank_C,current,active
ACC00010,P0010,SynthBank_A,current,active
ACC00011,P0011,SynthBank_B,savings,active
ACC00012,P0012,SynthBank_C,savings,active
ACC00013,P0013,SynthBank_A,savings,active
ACC00014,P0014,SynthBank_B,savings,active
ACC00015,P0015,SynthBank_C,savings,active
ACC00016,P0016,SynthBank_A,savings,active
ACC00017,P0017,SynthBank_B,savings,active
ACC00018,P0018,SynthBank_C,savings,active
ACC00019,P0019,SynthBank_A,savings,frozen
ACC00020,P0020,SynthBank_B,current,active
ACC00021,P0005,SynthBank_B,current,active
