phone_id,phone_number,owner_person_id,phone_type
PH0001,9000010001,P0001,mobile
PH0002,9000010002,P0002,mobile
PH0003,9000010003,P0003,mobile
PH0004,9000010004,P0004,mobile
PH0005,9000010005,P0005,mobile
PH0006,9000010006,P0006,mobile
PH0007,9000010007,P0007,mobile
PH0008,9000010008,P0008,mobile
PH0009,9000010009,P0009,mobile
PH0010,9000010010,P0010,mobile
PH0011,9000010011,P0011,mobile
PH0012,9000010012,P0012,mobile
PH0013,9000010013,P0013,mobile
PH0014,9000010014,P0014,mobile
PH0015,9000010015,P0015,mobile
PH0016,9000010016,P0016,mobile
PH0017,9000010017,P0017,mobile
PH0018,9000010018,P0018,mobile
PH0019,9000010019,P0019,mobile
PH0020,+91 90000 10003,P0020,mobile
PH0021,9000010105,P0005,secondary
PH0022,9000010111,P0011,secondary
PH0023,9000010201,P0001,business
PH0024,9000010209,P0009,business
